Id_plot,Location,Plots,Treatment,Date,leaf_thickness,seed_mass,leaf_area,sla,seed_length,carbon_nitro,leaf_damage
VGM_p10o,VGM,10,open,2019,,,,,,,2.142857143
VGM_p14c,VGM,14,closed,2019,,,,,,,2.517241379
CBO_p04o,CBO,4,open,2017,0.21,3257.85,11776.33,9520.87,12.18,17.29,
CBO_p09o,CBO,9,open,2017,0.21,1287.52,17123.88,17.55,18.89,15.6,
CBO_p12c,CBO,12,closed,2017,1.77,55.76,10960.16,12.56,9.72,12.05,
CBO_p14c,CBO,14,closed,2017,1.9,721.58,9436.72,19.87,16.18,14.53,
CBO_p15o,CBO,15,open,2017,1.89,611.19,10164.41,20.09,19.71,16.31,
CAR_p03o,CAR,3,open,2017,0.18,1266.72,12696.74,20.25,16.78,16.99,
ITA_p02o,ITA,2,open,2017,0.18,3659.1,14218.9,31.04,14.59,18.01,
VGM_p07c,VGM,7,closed,2017,0.2,1860.2,4996.1,21.19,15.48,15.05,
VGM_p11o,VGM,11,open,2017,0.23,225.83,5860,4817.79,10.74,13.19,
CBO_p01o,CBO,1,open,2019,,,,,,,2.792682927
CBO_p02o,CBO,2,open,2019,,,,,,,1.722222222
CBO_p02c,CBO,2,closed,2019,,,,,,,1.857142857
CBO_p05o,CBO,5,open,2019,,,,,,,2.533333333
CBO_p09c,CBO,9,closed,2019,,,,,,,1.7
CBO_p11c,CBO,11,closed,2019,,,,,,,2.152173913
CAR_p01o,CAR,1,open,2019,,,,,,,1.45
CAR_p02o,CAR,2,open,2019,,,,,,,1.673913043
CAR_p03o,CAR,3,open,2019,,,,,,,2.666666667
CAR_p03c,CAR,3,closed,2019,,,,,,,1.369565217
CAR_p04c,CAR,4,closed,2019,,,,,,,1.742424242
CAR_p05o,CAR,5,open,2019,,,,,,,1.488888889
CAR_p05c,CAR,5,closed,2019,,,,,,,1.653061224
CAR_p08o,CAR,8,open,2019,,,,,,,1.372881356
CAR_p09o,CAR,9,open,2019,,,,,,,1.885714286
CAR_p09c,CAR,9,closed,2019,,,,,,,1.296296296
CAR_p11o,CAR,11,open,2019,,,,,,,1.708333333
CAR_p14o,CAR,14,open,2019,,,,,,,1.266666667
CAR_p15o,CAR,15,open,2019,,,,,,,1.666666667
ITA_p01c,ITA,1,closed,2019,,,,,,,2.276595745
ITA_p02o,ITA,2,open,2019,,,,,,,2.5
VGM_p04c,VGM,4,closed,2019,,,,,,,1.271428571
VGM_p05c,VGM,5,closed,2019,,,,,,,1.2875
VGM_p07o,VGM,7,open,2019,,,,,,,1.533333333
VGM_p11o,VGM,11,open,2019,,,,,,,2.5
VGM_p12c,VGM,12,closed,2019,,,,,,,1.886363636
CBO_p01c,CBO,1,closed,2017,1.29,985.33,17068.76,13233.97,10.3,13.83,
CBO_p02c,CBO,2,closed,2017,2.3,1267.69,7885.04,9023.38,14.69,14.36,
CBO_p05o,CBO,5,open,2017,0.21,823.02,8569.91,16.83,8.32,12.57,
CBO_p05c,CBO,5,closed,2017,1.65,725.2,10258.56,17.51,12.44,12.09,
CBO_p06o,CBO,6,open,2017,1.15,664.28,10851.51,38938.71,10.56,14.95,
CBO_p06c,CBO,6,closed,2017,0.26,370.62,6269.9,11751.76,11.16,14.74,
CBO_p11c,CBO,11,closed,2017,1.58,1104.29,9148.92,8816.68,14.92,14.6,
CBO_p15c,CBO,15,closed,2017,0.24,1392.82,13935.11,17.74,17.24,14.63,
CAR_p01o,CAR,1,open,2017,0.25,387.72,8825.74,20.98,13.62,11.81,
CAR_p02c,CAR,2,closed,2017,0.23,598.17,25719.44,22470.16,13.06,12.71,
CAR_p03c,CAR,3,closed,2017,0.84,526.45,33051.23,40145.94,13.7,13.52,
CAR_p05c,CAR,5,closed,2017,1.1,1574.88,9104,10303.38,6.63,12.3,
CAR_p10o,CAR,10,open,2017,1.37,2128.38,8283.21,10395.98,18.58,22.36,
CAR_p11o,CAR,11,open,2017,3.05,723.93,4037.68,10645.71,15.68,21.52,
CAR_p12c,CAR,12,closed,2017,7.43,2464.59,11750.24,13111.48,14.45,18.57,
ITA_p01o,ITA,1,open,2017,2.18,952.14,12451.4,6161.43,10.22,14.68,
ITA_p01c,ITA,1,closed,2017,0.22,7702.49,12614.06,23.34,22.23,18.73,
ITA_p08o,ITA,8,open,2017,0.22,1087.34,10057.89,30141.53,12.57,14.65,
ITA_p10o,ITA,10,open,2017,0.13,5672.33,11641.87,23.57,26.17,29.93,
ITA_p12o,ITA,12,open,2017,0.19,2143.05,13674.14,28525.41,13.34,17.04,
ITA_p15o,ITA,15,open,2017,0.21,533.82,8827.08,19.01,8.6,14.55,
VGM_p01o,VGM,1,open,2017,0.26,2714.09,4244.57,27.07,12.09,13.45,
VGM_p05o,VGM,5,open,2017,0.84,5379.6,10953.38,5919.49,15.9,17.91,
VGM_p05c,VGM,5,closed,2017,0.51,8179.26,8910.48,21.59,23.49,16.24,
VGM_p06c,VGM,6,closed,2017,0.79,848.38,16356.23,62128.65,17.52,17.07,
VGM_p07o,VGM,7,open,2017,0.23,968.97,14778.86,47047.56,12.36,15.06,
VGM_p09c,VGM,9,closed,2017,1.84,584.57,11285.37,12557.32,11.03,16.05,
VGM_p10o,VGM,10,open,2017,0.21,99.09,6425.86,9613.14,10.88,11.19,
VGM_p10c,VGM,10,closed,2017,0.21,532.18,6610.34,22.52,15.65,14.99,
VGM_p11c,VGM,11,closed,2017,0.24,937.8,5791.97,9914.8,11.12,15.84,
VGM_p12c,VGM,12,closed,2017,0.86,750.48,9507.46,22.7,14.15,16.88,
CBO_p14c,CBO,14,closed,2019,,,,,,,1.87037037
CAR_p01c,CAR,1,closed,2019,,,,,,,1.772727273
CAR_p02c,CAR,2,closed,2019,,,,,,,1.522727273
CAR_p04o,CAR,4,open,2019,,,,,,,1.636363636
CAR_p10o,CAR,10,open,2019,,,,,,,1.5
CAR_p10c,CAR,10,closed,2019,,,,,,,1.632911392
CAR_p11c,CAR,11,closed,2019,,,,,,,1.791666667
ITA_p01o,ITA,1,open,2019,,,,,,,2.103448276
ITA_p02c,ITA,2,closed,2019,,,,,,,2.1875
ITA_p04o,ITA,4,open,2019,,,,,,,1.4
ITA_p04c,ITA,4,closed,2019,,,,,,,1.743589744
ITA_p06c,ITA,6,closed,2019,,,,,,,2.127272727
ITA_p08o,ITA,8,open,2019,,,,,,,1.85
ITA_p08c,ITA,8,closed,2019,,,,,,,1.814814815
ITA_p10c,ITA,10,closed,2019,,,,,,,1.465116279
VGM_p01o,VGM,1,open,2019,,,,,,,2.1
VGM_p01c,VGM,1,closed,2019,,,,,,,1.733333333
VGM_p04o,VGM,4,open,2019,,,,,,,1.6
VGM_p09o,VGM,9,open,2019,,,,,,,1.87804878
VGM_p09c,VGM,9,closed,2019,,,,,,,1.247191011
VGM_p10c,VGM,10,closed,2019,,,,,,,1.864864865
VGM_p11c,VGM,11,closed,2019,,,,,,,2.030769231
VGM_p12o,VGM,12,open,2019,,,,,,,2.294117647
VGM_p15o,VGM,15,open,2019,,,,,,,2.782608696
CBO_p02o,CBO,2,open,2017,0.21,1299.92,12923.09,18.09,17.25,15.59,
CBO_p04c,CBO,4,closed,2017,0.18,2573.54,11117.51,36276.36,16.53,16.6,
CAR_p01c,CAR,1,closed,2017,0.22,642.21,7491.1,36.23,16.92,16.04,
CAR_p02o,CAR,2,open,2017,5.27,1825.33,10797.48,18218.56,9.38,13.81,
CAR_p04o,CAR,4,open,2017,5.03,1912.69,12006.84,5364.07,11.71,14.69,
CAR_p04c,CAR,4,closed,2017,1.49,2832.24,21435.65,69745.41,13.86,16.07,
CAR_p05o,CAR,5,open,2017,5.29,2023.55,10376.3,16319.13,13.86,18.65,
CAR_p08o,CAR,8,open,2017,0.5,1145.1,7248.44,2696.72,16.43,12.05,
CAR_p08c,CAR,8,closed,2017,1.83,1032.73,10250.7,3023.44,14.05,14.36,
CAR_p09o,CAR,9,open,2017,1.41,600.41,8382.67,4311.75,13.81,16.36,
CAR_p09c,CAR,9,closed,2017,2,879.93,8795.77,4769.88,13.02,18.22,
CAR_p10c,CAR,10,closed,2017,0.9,2402.73,8554.2,3140.95,20.74,24.74,
CAR_p11c,CAR,11,closed,2017,1.84,2651.15,10582.73,11766.76,19.37,19.78,
CAR_p12o,CAR,12,open,2017,0.72,1059.71,8610.24,18381.01,19.48,23.34,
CAR_p14o,CAR,14,open,2017,7.41,1907.98,10670.5,9023.61,15.54,17.79,
CAR_p14c,CAR,14,closed,2017,3.52,1874.15,14279.32,37.61,13.61,14.96,
CAR_p15o,CAR,15,open,2017,2.57,851.99,19629.35,35230.88,15.26,12.19,
CAR_p15c,CAR,15,closed,2017,4.04,3633.83,13000.27,12.89,16.31,17.28,
ITA_p02c,ITA,2,closed,2017,0.21,3532.04,13040.49,20.85,20.02,20.46,
ITA_p04o,ITA,4,open,2017,0.22,4441.72,11817.4,16515.24,15.35,15.96,
ITA_p04c,ITA,4,closed,2017,0.23,3040.32,13145.18,21.42,13.51,16.48,
ITA_p06o,ITA,6,open,2017,0.19,570.22,16662.89,22802.18,14.44,16.66,
ITA_p06c,ITA,6,closed,2017,2.03,932.82,8398.63,22.72,18.92,20.95,
ITA_p08c,ITA,8,closed,2017,0.23,644.22,13911.8,33481.6,17.5,18.86,
ITA_p10c,ITA,10,closed,2017,0.2,114.67,8194.54,26.97,5.1,11.65,
ITA_p12c,ITA,12,closed,2017,0.19,1357.86,6421.99,22.58,21.13,20.71,
ITA_p14o,ITA,14,open,2017,1.75,2955.1,19196.98,28549.06,15.75,13.87,
ITA_p14c,ITA,14,closed,2017,1.85,2095.95,11996.5,14293.6,12.6,18.35,
ITA_p15c,ITA,15,closed,2017,0.17,993.06,3539.07,22.28,18.64,22.44,
VGM_p01c,VGM,1,closed,2017,5.48,2506.69,7084.18,19.7,19.99,22.47,
VGM_p04c,VGM,4,closed,2017,0.9,771.11,5749.94,2949.06,13.94,17.34,
VGM_p06o,VGM,6,open,2017,0.2,706.61,5643.75,24.89,16.88,17.33,
VGM_p08o,VGM,8,open,2017,0.17,653.96,9961.72,5565.31,15.49,17.13,
VGM_p08c,VGM,8,closed,2017,0.24,605.11,15390,46534.76,16.24,17.59,
VGM_p09o,VGM,9,open,2017,0.17,477.26,12245.63,7393.44,13.59,15.19,
VGM_p14o,VGM,14,open,2017,0.19,1970.91,8032.77,12502.99,15.99,17.66,
VGM_p14c,VGM,14,closed,2017,0.21,993.67,6226.25,24.25,13.06,16.36,
VGM_p15o,VGM,15,open,2017,0.21,1780.15,5775.1,24.06,14.86,18.24,
VGM_p15c,VGM,15,closed,2017,0.21,6742.3,10863.77,23.07,17.58,12.99,
CBO_p04o,CBO,4,open,2019,,,,,,,1.47826087
CBO_p12o,CBO,12,open,2019,,,,,,,1.953488372
CAR_p08c,CAR,8,closed,2019,,,,,,,1.082568807
CAR_p15c,CAR,15,closed,2019,,,,,,,1.975
ITA_p12c,ITA,12,closed,2019,,,,,,,0.923076923
ITA_p14c,ITA,14,closed,2019,,,,,,,2.423076923
ITA_p15c,ITA,15,closed,2019,,,,,,,1.9
VGM_p05o,VGM,5,open,2019,,,,,,,1.48
VGM_p14o,VGM,14,open,2019,,,,,,,2.631578947
VGM_p15c,VGM,15,closed,2019,,,,,,,2.866666667
